Variable	Attribute	Value	Compliance checking rules
time
	type	float64
	dimension	time
	units	seconds since 1970-01-01 00:00:00
	standard_name	time
	long_name	Time (seconds since 1970-01-01)
	axis	T
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	calendar	standard

latitude
	type	float32
	dimension	latitude
	units	degrees_north
	standard_name	latitude
	long_name	Latitude
	_FillValue	-1.00E+20
	axis	Y
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: point

longitude			Detect longitudes < -180 OR > 180: WARN: we recommend setting longitudes from -180 to 180
	type	float32
	dimension	longitude
	units	degrees_east
	standard_name	longitude
	long_name	Longitude
	_FillValue	-1.00E+20
	axis	X
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: point

platform_speed_wrt_air
	type	float32
	dimension	time
	units	m s-1
	standard_name	platform_speed_wrt_air
	long_name	Platform speed with respect to air (air speed)
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_course
	type	float32
	dimension	time
	units	degree
	standard_name	platform_course
	long_name	Direction in which the platform is travelling
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_orientation
	type	float32
	dimension	time
	units	degree
	standard_name	platform_orientation
	long_name	Direction in which the platform is pointing
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_speed_wrt_ground
	type	float32
	dimension	time
	units	m s-1
	standard_name	platform_speed_wrt_ground
	long_name	Platform speed with respect to ground (ground speed)
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_pitch_angle
	type	float32
	dimension	time
	units	degree
	standard_name	platform_pitch_angle
	long_name	Pitch Angle
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_pitch_rate
	type	float32
	dimension	time
	units	degree s-1
	standard_name	platform_pitch_rate
	long_name	Pitch Angle Rate of Change
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_roll_angle
	type	float32
	dimension	time
	units	degree
	standard_name	platform_roll_angle
	long_name	Roll Angle
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_roll_rate
	type	float32
	dimension	time
	units	degree s-1
	standard_name	platform_roll_rate
	long_name	Roll Angle Rate of Change
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_yaw_angle
	type	float32
	dimension	time
	units	degree
	standard_name	platform_yaw_angle
	long_name	Yaw Angle
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_yaw_rate
	type	float32
	dimension	time
	units	degree s-1
	standard_name	platform_yaw_rate
	long_name	Yaw Angle Rate of Change
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

altitude
	type	float32
	dimension	time
	units	m
	standard_name	altitude
	long_name	Geometric height above geoid (WGS84).
	_FillValue	-1.00E+20
	axis	Z
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

day_of_year
	type	float32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Day of Year
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

year
	type	int32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Year
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

month
	type	int32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Month
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

day
	type	int32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Day
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

hour
	type	int32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Hour
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

minute
	type	int32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Minute
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

second
	type	float32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Second
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
