Data Product	Instrument(s) - New	Instrument(s) - Old	Scientist	Notes
snr-winds	ncas-radar-wind-profiler-1	man-radar-1290mhz	Emily Norton

aerosol-backscatter	ncas-ceilometer-4		Emily Norton
	ncas-ceilometer-2		Grant Forster	WAO
	ncas-ceilometer-3		Barbara Brooks	IAO
	ncas-ceilometer-1		Barbara Brooks

aerosol-extinction	ncas-o3-lidar-1	man-o3lidar	Hugo Ricketts

cloud-base	ncas-ceilometer-4		Emily Norton
	ncas-ceilometer-2		Grant Forster	WAO
	ncas-ceilometer-3		Barbara Brooks	IAO
	ncas-ceilometer-1		Barbara Brooks

o3-concentration-profile	ncas-o3-lidar-1	man-o3lidar	Hugo Ricketts

sonde	ncas-radiosonde-1	man-radiosonde	Hugo Ricketts
	ncas-rapidsonde-1		Hugo Ricketts
	ncas-radiosonde-2	leeds-radiosonde	Barbara Brooks
	ncas-rapidsonde-2		Barbara Brooks

aerosol-size-distribution	ncas-caps-1	man-caps	James Dorsey
	ncas-aps-1	uom-3321aps-1	Paul I Williams
	ncas-aps-2	uom-3321aps-2	Paul I Williams
	ncas-opc-1	uom-grimm	Paul I Williams
	ncas-smps-1	man-smps-1	Paul I Williams
	ncas-smps-2	man-smps-2	Paul I Williams

liquid-water-content	ncas-caps-1	man-caps	James Dorsey

aerosol-no3-so4-nh3-org-concentration	ncas-aerosol-mass-spec-1	man-ams	Paul I Williams

aerosol-concentration	ncas-cpc-3010-1	uom-3010cpc-1	Paul I Williams
	ncas-cpc-3010-2	uom-3010cpc-2	Paul I Williams
	ncas-cpc-3762-1		Paul I Williams
	ncas-cpc-3762-2		Paul I Williams
	ncas-cpc-3762-3		Paul I Williams
	ncas-cpc-3762-4		Paul I Williams

surface-met	ncas-aws-6		Grant Forster	WAO - Metpack
	ncas-aws-8	cv-met-campbell	Katie Read	CVAO
	ncas-aws-7	cv-met-tower, cv-met-webdaq	Katie Read	CVAO
	ncas-aws-3		Barbara Brooks	IAO
	ncas-aws-1		Barbara Brooks
	ncas-aws-2		Lindsay Bennett
	ncas-scanning-radiometer-1	salford-radiometer-1	Barbara Brooks

nox-noxy-concentration	ncas-42i-nox-2		Grant Forster	WAO
	ncas-teco-nox-1		James Lee
	ncas-fast-nox-1		James Lee
	ncas-high-sen-nox-1		James Lee
	ncas-noxy-1	cv-noxy	Katie Read	CVAO
	ncas-42i-nox-1	leeds-nox	Lisa Whalley

so2-concentration	ncas-43i-so2-1		Grant Forster

o3-concentration	ncas-49i-o3-2		Grant Forster	WAO
	ncas-49i-o3-1	cv-tei-o3	Katie Read
	ncas-49i-o3-4	york-ozone3	Katie Read
	ncas-49i-o3-3		James Lee
	ncas-2b-1chan-o3-1	york-ozone6	Katie Read
	ncas-2b-2chan-o3-1	york-ozone7	Katie Read
	ncas-49c-o3-1	leeds-o3	Lisa Whalley

co2-concentration	ncas-co2-1	wao-siemens-oxzilla	Grant Forster	WAO

n2o-sf6-concentration	ncas-ghg-gc-ecd-1	wao-ghg-gc-ecd	Grant Forster	WAO

ch4-concentration	ncas-ghg-gc-fid-1	wao-ghg-gc-fid	Grant Forster	WAO

o2n2-concentration-ratio	ncas-o2-1	wao-siemens-oxzilla	Grant Forster	WAO

co-h2-concentration	ncas-rga3-1	wao-rga	Grant Forster	WAO

co-concentration	ncas-co-picarro-1		Katie Read	CVAO
	ncas-aerolaser-co-1		Katie Read
	ncas-co-1		James Lee
	ncas-co-2		James Lee

halocarbon-concentration	ncas-halocarbon-gc-1	cv-gc-ms	Katie Read	CVAO

tgm-concentration	ncas-tgm-tekran-1		Katie Read	CVAO

solar-actinic-flux	ncas-spectral-radiometer-2	cv-specrad	James Lee	CVAO
	ncas-spectral-radiometer-1		Lisa Whalley

voc-concentration	ncas-dc-gc-fid-1		James Hopkins
	ncas-dc-gc-fid-2		James Hopkins
	ncas-gc-ms-1		James Hopkins
	ncas-ptrms-1	uea-ptrms	David Oram
	ncas-dc-gc-fid-3	cv-dc-gc-fid	Katie Read	CVAO

peroxyacetyl-nitrate-concentration	ncas-pan-gc-1		James Hopkins

dew-point	ncas-dewpoint-hygrometer-1	leeds-dph	Lisa Whalley

oh-concentration	ncas-fage-1	leeds-fage	Lisa Wahlley
	ncas-micro-fage-1		Trevor Ingham

o3-photolysis-frequencies	ncas-filtered-radiometer-1	leeds-fr-jo1d	Lisa Whalley

radar	ncas-mobile-xband-radar-1		Lindsay Bennett
	ncas-mobile-kaband-radar-1		Chris Walden

aerosol-optical-depth	ncas-sunphotometer-1		Chris Wladen

mean-winds	ncas-sonic-3		Barbara Brooks
	ncas-sonic-2		Barbara Brooks
	ncas-sonic-1		Barbara Brooks
	ncas-sonic-4		Katie Read

mean-winds-profile	ncas-lidar-dop-2		Barbara Brooks	IAO
	ncas-lidar-dop-1		Barbara Brooks

aerosol- backscatter-radial-winds	ncas-lidar-dop-2		Barbara Brooks	IAO
	ncas-lidar-dop-1		Barbara Brooks

radiation	ncas-energy-balance-1		Barbara Brooks
	ncas-energy-balance-2		Barbara Brooks

soil	ncas-energy-balance-1		Barbara Brooks
	ncas-energy-balance-2		Barbara Brooks

flux-components	ncas-flux-1		Barbara Brooks
	ncas-flux-2		Barbara Brooks

flux-estimates	ncas-flux-1		Barbara Brooks
	ncas-flux-2		Barbara Brooks

mean-co2-h2o	ncas-licor-1		Barbara Brooks
	ncas-licor-2		Barbara Brooks

rain-lwc-velocity-reflectivity	ncas-mrr-1		Barbara Brooks

size-concentration-spectra	ncas-mrr-1		Barbara Brooks

boundary-layer-temperature-profiles	ncas-scanning-radiometer-1	salford-radiometer-1	Barbara Brooks
	ncas-sodar-rass-1		Grant Forster	WAO

brightness-temperature	ncas-scanning-radiometer-1	salford-radiometer-1	Barbara Brooks

full-troposphere-temperature-profiles	ncas-scanning-radiometer-1	salford-radiometer-1	Barbara Brooks

iwv-lwp	ncas-scanning-radiometer-1	salford-radiometer-1	Barbara Brooks

moisture-profile	ncas-scanning-radiometer-1	salford-radiometer-1	Barbara Brooks

stabiluty-indicies	ncas-scanning-radiometer-1	salford-radiometer-1	Barbara Brooks

boundary-layer-height	ncas-scanning-radiometer-1	salford-radiometer-1	Barbara Brooks

acoustic-backscatter-winds	ncas-sodar-1	leeds-sodar-unit1	Barbara Brooks
	ncas-sodar-2	leeds-sodar-unit2	Barbara Brooks
	ncas-sodar-3	leeds-sodar-unit3	Barbara Brooks
	ncas-sodar-rass-1		Grant Forster	WAO

depolarisation-ratio	ncas-lidar-dop-2		Barbara Brooks
	ncas-lidar-dop-1		Barbara Brooks
