Variable	Attribute	Value	Proposed name	example value	notes
air_temperature
	name	air_temperature
	type	float32
	dimension	time
	units	K
	standard_name	air_temperature
	long_name	Air Temperature
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

divergence_of_air_temperature
	name	divergence_of_air_temperature
	type	float32
	dimension	time
	units	K
	standard_name		divergence_of_air_temperature
	long_name	Divergence of Air Temperature
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: standard_deviation
	coordinates	latitude longitude

air_pressure
	name	air_pressure
	type	float32
	dimension	time
	units	hPa
	standard_name	air_pressure
	long_name	Air Pressure
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

divergence_of_air_pressure
	name	divergence_of_air_pressure
	type	float32
	dimension	time
	units	hPa
	standard_name		divergence_of_air_pressure
	long_name	Divergence of Air Pressure
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: standard_deviation
	coordinates	latitude longitude

mole_concentration_of_carbon_dioxide_in_air
	name	mole_concentration_of_carbon_dioxide_in_air
	type	float32
	dimension	time
	units	mmol m-3
	standard_name	mole_concentration_of_carbon_dioxide_in_air
	long_name	Mole Concentration of Carbon Dioxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

divergence_of_mole_concentration_of_carbon_dioxide_in_air
	name	divergence_of_mole_concentration_of_carbon_dioxide_in_air
	type	float32
	dimension	time
	units	mmol m-3
	standard_name		divergence_of_mole_concentration_of_carbon_dioxide_in_air
	long_name	Divergence of mole concentration of Carbon Dioxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: standard_deviation
	coordinates	latitude longitude

mole_concentration_of_water_vapor_in_air
	name	mole_concentration_of_water_vapor_in_air
	type	float32
	dimension	time
	units	mmol m-3
	standard_name	mole_concentration_of_water_vapor_in_air
	long_name	Mole concentration of Water Vapor in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

divergence_of_mole_concentration_of_water_vapor_in_air
	name	divergence_of_mole_concentration_of_water_vapor_in_air
	type	float32
	dimension	time
	units	mmol m-3
	standard_name		divergence_of_mole_concentration_of_water_vapor_in_air
	long_name	Divergence of mole concentration of Water Vapor in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: standard_deviation
	coordinates	latitude longitude

specific_humidity
	name	specific_humidity
	type	float32
	dimension	time 
	units	kg kg-1
	standard_name	specific_humidity
	long_name	Specific_humidity (Q)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

divergence_of_specific_humidity
	name	divergence_of_specific_humidity
	type	float32
	dimension	time
	units	kg kg-1
	standard_name		divergence_of_specific_humidity
	long_name	Divergence of Specific Humidity
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: standard_deviation
	coordinates	latitude longitude

humidity_mixing_ratio
	name	humidity_mixing_ratio
	type	float32
	dimension	time
	units	1
	standard_name	humidity_mixing_ratio
	long_name	Humidity Mixing Ratio
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

divergence_of_humidity_mixing_ratio
	name	divergence_of_humidity_mixing_ratio
	type	float32
	dimension	time
	units	1
	standard_name		divergence_of_humidity_mixing_ratio
	long_name	Divergence of Humidity Mixing Ratio
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: standard_deviation
	coordinates	latitude longitude

qc_flag_temperature
	name	qc_flag_temperature
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Temperature
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used good_data  bad_data_value_outside_operational_range_(-25_C_to_50_C) suspect_data_time_stamp_error

qc_flag_pressure
	name	qc_flag_pressure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Pressure
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used good_data  bad_data_value_outside_operational_range_(650_hPa_to_1150_hPa) suspect_data_time_stamp_error

qc_flag_co2_concentration
	name	qc_flag_co2_concentration
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: CO2 concentration
	flag_values	0b,1b, 2b, 3b,4b
	flag_meanings	not_used good_data  bad_data_value_outside_operational_range_(0_to_3_mmol_mol-1) suspect_data_measured_concentration_=_0 suspect_data_time_stamp_error

qc_flag_h2o_concentration
	name	qc_flag_h2o_concentration
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: H2O concentration
	flag_values	0b,1b, 2b, 3b,4b
	flag_meanings	not_used good_data  bad_data_value_outside_operational_range_(0_to_60_mmol_mol-1) suspect_data_measured_concentration_=_0 suspect_data_time_stamp_error
